column_name,column_type,description,possible_values
_LCM10V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'BLANK': 'Missing'}
_LCM11V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'BLANK': 'Missing'}
_LCM12V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'BLANK': 'Missing'}
_LCPWTV2,DOUBLE,Version 2 weight assigned to each respondent: Land-line and cell-phone data,{'HIDDEN': 'Data not displayed'}
_LCM01V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone First Margin (Age-Gender),{'BLANK': 'Missing'}
_LCM02V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),{'BLANK': 'Missing'}
_LCM03V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Third Margin (Education),{'BLANK': 'Missing'}
_LCM04V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Fourth Margin (Marital Status),{'BLANK': 'Missing'}
_LCM05V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Fifth Margin (Home Ownership),{'BLANK': 'Missing'}
_LCM06V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Sixth Margin (Gender-Race/Ethnicity),{'BLANK': 'Missing'}
_LCM07V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Seventh Margin (Age-Race/Ethnicity),{'BLANK': 'Missing'}
_LCM08V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Eighth Margin (Telephone Source),{'BLANK': 'Missing'}
_LCM09V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Ninth Margin (Regions),{'BLANK': 'Missing'}
_LCM10V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'BLANK': 'Missing'}
_LCM11V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'BLANK': 'Missing'}
_LCM12V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'BLANK': 'Missing'}
_LCPWTV3,VARCHAR,Version 3 weight assigned to each respondent: Land-line and cell-phone data,{'HIDDEN': 'Data not displayed'}
_RFHLTH,DOUBLE,Adults with good or better health,"{'2': 'Fair or Poor', '9': 'Don’t know/Not'}"
_PHYS14D,DOUBLE,"3 level not good physical health status: 0 days, 1-13 days, 14-30 days","{'1': 'Zero days when', '2': '1-13 days when', '3': '14+ days when', '9': 'Don’t know/'}"
_MENT14D,DOUBLE,"3 level not good mental health status: 0 days, 1-13 days, 14-30 days","{'1': 'Zero days when', '2': '1-13 days when', '3': '14+ days when', '9': 'Don’t know/'}"
_HCVU651,DOUBLE,Respondents aged 18-64 who have any form of health care coverage,"{'1': 'Have health care', '2': 'Do not have health', '9': 'Don’t know/Not'}"
_RFHYPE5,DOUBLE,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional","{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_CHOLCH1,DOUBLE,Cholesterol check within past five years,"{'1': 'Had cholesterol', '2': 'Did not have', '3': 'Have never had', '9': 'Don’t know/Not', '7': 'or'}"
_RFCHOL1,DOUBLE,"Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health","{'2': 'Yes', 'BLANK': 'Missing', '1': 'or'}"
_MICHD,DOUBLE,Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI),"{'1': 'Reported having MI', '2': 'Did not report', 'BLANK': 'Not asked or'}"
_LTASTH1,DOUBLE,Adults who have ever been told they have asthma,"{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_CASTHM1,DOUBLE,Adults who have been told they currently have asthma,"{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_ASTHMS1,DOUBLE,Computed asthma status,"{'1': 'Current', '2': 'Former', '3': 'Never', '9': 'Don’t know/Not'}"
_DRDXAR1,DOUBLE,Respondents who have had a doctor diagnose them as having some form of arthritis,"{'1': 'Diagnosed with', '2': 'Not diagnosed with', 'BLANK': 'Don´t know/Not', '7': 'or'}"
_LMTACT1,DOUBLE,Limited usual activities,"{'1': 'Told have', '2': 'Told have', '3': 'Not told they have', '9': 'Don´t know,', 'BLANK': 'Don´t know,'}"
_LMTWRK1,DOUBLE,Limited work activities,"{'1': 'Told have', '2': 'Told have', '3': 'Not told they have', '9': 'Don´t know,', 'BLANK': 'Don´t know,'}"
_LMTSCL1,DOUBLE,Limited social activities,"{'1': 'Told have', '2': 'Told have', '3': 'Told have', '4': 'Not told they have', '9': 'Don´t know,', 'BLANK': 'Don´t know,'}"
MRACORG1,BIGINT,"MRACE1 with 77,88,99s removed","{'77': 'Don’t know/Not', '99': 'Refused', 'HIDDEN': 'Data not displayed'}"
MRACASC1,DOUBLE,"MRACORG1 with 77,88,99s removed, in ascending order","{'77': 'Don’t know/Not', '99': 'Refused', 'HIDDEN': 'Data not displayed'}"
_PRACE1,DOUBLE,Preferred race category,"{'1': 'White', '2': 'Black or African', '3': 'American Indian or', '4': 'Asian', '5': 'Native Hawaiian or', '6': 'Other race', '7': 'No preferred race', '100': 'and ORACE3 =', '77': 'Don’t know/Not', '99': 'Refused'}"
_MRACE1,DOUBLE,Calculated multiracial race categorization,"{'1': 'White only', '2': 'Black or African', '3': 'American Indian or', '4': 'Asian Only', '5': 'Native Hawaiian or', '6': 'Other race only', '7': 'Multiracial', '77': 'Don’t know/Not', '99': 'Refused'}"
_M_RACE,DOUBLE,Calculated multiracial race categorization,"{'10': 'White', '20': 'Black or African', '30': 'American Indian or', '40': 'Asian', '41': 'Asian Indian', '42': 'Chinese', '43': 'Filipino', '44': 'Japanese', '45': 'Korean', '46': 'Vietnamese', '47': 'Other Asian', '51': 'Native Hawaiian', '53': 'Samoan', '54': 'Other Pacific', '60': 'Other', '70': 'Multiple responses', '77': 'Don’t know/Not', '99': 'Refused'}"
_HISPANC,DOUBLE,"Hispanic, Latino/a, or Spanish origin calculated variable","{'1': 'Hispanic, Latino/', '2': 'Not of Hispanic,', '9': 'Don´t Know,'}"
_RACE,DOUBLE,Race/ethnicity categories,"{'1': 'White only, non-', '2': 'and _MRACE1 =', '3': 'American Indian or', '4': 'Asian only, non-', '5': 'Native Hawaiian or', '6': 'Other race only,', '7': 'or', '8': 'Hispanic', '9': 'Don’t know/Not'}"
_RACEG21,DOUBLE,White non-Hispanic race group,"{'1': 'Non-Hispanic White', '2': 'Non-White or', '6': 'or', '9': 'Don’t know/Not'}"
_RACEGR3,DOUBLE,Five-level race/ethnicity category,"{'1': 'White only, Non-', '2': 'Black only, Non-', '3': 'Other race only,', '4': 'Multiracial, Non-', '5': 'Hispanic', '9': 'Don’t know/Not'}"
_RACE_G1,DOUBLE,Race groups used for internet prevalence tables,"{'1': 'White - Non-', '2': 'Black - Non-', '3': 'Hispanic', '4': 'Other race only,', '5': 'Multiracial, Non-', 'BLANK': 'Don’t know/Not'}"
_AGEG5YR,DOUBLE,Fourteen-level age category,"{'1': 'Age', '2': 'Age', '3': 'Age', '4': 'Age', '5': 'Age', '6': 'Age', '7': 'Age', '8': 'Age', '9': 'Age', '10': 'Age', '11': 'Age', '12': 'Age', '13': 'Age', '14': 'Don’t know/'}"
_AGE65YR,DOUBLE,Two-level age category,"{'1': 'Age', '2': 'Age', '3': 'Don’t know/'}"
_AGE80,DOUBLE,Imputed Age value collapsed above 80,"{'18': '-', '25': '-', '30': '-', '35': '-', '40': '-', '45': '-', '50': '-', '55': '-', '60': '-', '65': '-', '70': '-', '75': '-', '80': '-'}"
_AGE_G,DOUBLE,Six-level imputed age category,"{'1': 'Age', '2': 'Age', '3': 'Age', '4': 'Age', '5': 'Age', '6': 'Age'}"
HTIN4,DOUBLE,Reported height in inches,"{'36': '-', 'BLANK': 'Don’t know/'}"
HTM4,DOUBLE,Reported height in meters,"{'91': '-', 'BLANK': 'Don’t know/', '7777': 'or'}"
WTKG3,DOUBLE,Reported weight in kilograms,"{'2300': '-', 'BLANK': 'Don’t know/', '7777': 'or'}"
_BMI5,DOUBLE,Body Mass Index (BMI),"{'1': '-', 'BLANK': 'Don’t know/', '777': 'or'}"
_BMI5CAT,DOUBLE,Four-categories of Body Mass Index (BMI),"{'1': 'Underweight', '1850': '(_BMI5 has', '2': 'Normal Weight', '3': 'Overweight', '4': 'Obese', 'BLANK': 'Don’t know/'}"
_RFBMI5,DOUBLE,Adults who have a body mass index greater than 25.00 (Overweight or Obese),"{'1': 'No', '2': 'Yes', '9': 'Don’t know/'}"
_CHLDCNT,DOUBLE,Number of children in household,"{'1': 'No children in', '2': 'One child in', '3': 'Two children in', '4': 'Three children in', '5': 'Four children in', '6': 'Five or more', '9': 'Don’t know/Not'}"
_EDUCAG,DOUBLE,Level of education completed,"{'1': 'Did not graduate', '2': 'Graduated High', '3': 'Attended College', '4': 'Graduated from', '9': 'Don’t know/Not'}"
_INCOMG,DOUBLE,Income categories,"{'1': 'Less than $15,000', '2': '$15,000 to less', '3': '$25,000 to less', '4': '$35,000 to less', '5': '$50,000 or more', '9': 'Don’t know/Not', '77': 'or'}"
_SMOKER3,DOUBLE,"Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker","{'1': 'and SMOKEDAY =', '2': 'Current smoker -', '3': 'Former smoker', '4': 'Never smoked', '9': 'Don’t know/'}"
_RFSMOK3,DOUBLE,Adults who are current smokers,"{'1': 'or', '3': 'or', '2': 'Yes', '9': 'Don’t know/'}"
_ECIGSTS,DOUBLE,"Four-level e-cigarette smoker status: Everyday e-cigarette user, Someday e-cigarette user, Former e-cigarette user, Non-e-","{'1': 'Current E-', '2': 'Current E-', '3': 'Former E-cigarette', '4': 'Never used E-', '9': 'Don’t know/'}"
_CURECIG,DOUBLE,Adults who are current e-cigarette users,"{'1': 'Not currently', '2': 'Current E-', '9': 'Don’t know/'}"
DRNKANY5,DOUBLE,Adults who reported having had at least one drink of alcohol in the past 30 days.,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused/Missing'}"
DROCDY3_,DOUBLE,Drink-occasions-per-day,"{'0': 'No Drink-Occasions', '1': '-', '900': 'Don’t know/Not', '777': 'or'}"
_RFBING5,DOUBLE,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)","{'1': 'No', '0': 'or ALCDAY5 =', '2': 'Yes', '9': 'Don’t know/', '7': 'or'}"
_DRNKWEK,DOUBLE,Calculated total number of alcoholic beverages consumed per week,"{'0': 'Did not drink', '1': '-', '99900': 'Don’t know/Not', '777': 'or'}"
_RFDRHV5,DOUBLE,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week),"{'1': 'No', '2': 'Yes', '9': 'Don’t know/'}"
FTJUDA2_,DOUBLE,Fruit juice intake in times per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
FRUTDA2_,DOUBLE,Fruit intake in times per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
GRENDA1_,DOUBLE,Dark green vegetable intake in times per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
FRNCHDA_,DOUBLE,French Fry intake in times per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
POTADA1_,DOUBLE,Potato servings per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
VEGEDA2_,DOUBLE,Other vegetable intake in times per day,"{'0': '-', 'BLANK': 'Don’t know/Not'}"
_MISFRT1,DOUBLE,The number of missing fruit responses,"{'0': 'No missing fruit', '1': '-'}"
_MISVEG1,DOUBLE,The number of missing vegetable responses,"{'0': 'No missing', '1': '-'}"
_FRTRES1,DOUBLE,Missing any fruit responses,"{'0': 'Not Included -', '1': 'Included - Not'}"
_VEGRES1,DOUBLE,Missing any vegetable responses,"{'0': 'Not Included -', '1': 'Included - Not'}"
_FRUTSU1,DOUBLE,Total fruits consumed per day,"{'0': '-', 'BLANK': 'Not asked or'}"
_VEGESU1,DOUBLE,Total vegetables consumed per day,"{'0': '-', 'BLANK': 'Not asked or'}"
_FRTLT1A,DOUBLE,Consume Fruit 1 or more times per day,"{'1': 'Consumed fruit one', '2': 'Consumed fruit', '9': 'Don´t know,'}"
_VEGLT1A,DOUBLE,Consume Vegetables 1 or more times per day,"{'1': 'Consumed', '2': 'Consumed', '9': 'Don´t know,'}"
_FRT16A,DOUBLE,Reported consuming Fruit >16 per day,"{'0': 'Not Included -', '1': 'Included - Values'}"
_VEG23A,DOUBLE,Reported consuming Vegetables >23 per day,"{'0': 'Not Included -', '1': 'Included - Values'}"
_FRUITE1,DOUBLE,Fruit Exclusion from analyses,"{'0': 'No missing values', '1': 'Missing Fruit', '2': 'Fruit values out'}"
_VEGETE1,DOUBLE,Vegetable Exclusion from analyses,"{'0': 'No missing values', '1': 'Missing Vegetable', '2': 'Vegetable values'}"
_TOTINDA,DOUBLE,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,"{'1': 'Had physical', '2': 'No physical', '9': 'Don’t know/', '7': 'or'}"
METVL11_,DOUBLE,Activity MET Value for First Activity,"{'0': 'Activity MET Value', '1': '-', 'BLANK': 'Not asked or'}"
METVL21_,DOUBLE,Activity MET Value for Second Activity,"{'0': 'Activity MET Value', '1': '-', 'BLANK': 'Not asked or'}"
MAXVO2_,DOUBLE,Estimated Age-Gender Specific Maximum Oxygen Consumption,"{'0': '-', '99900': 'Don’t know/Not'}"
FC60_,DOUBLE,Estimated Functional Capacity,"{'0': '-', '99900': 'Don’t know/Not'}"
ACTIN11_,DOUBLE,Estimated Activity Intensity for First Activity,"{'0': 'Not Moderate or', '1': 'Moderate', '2': 'Vigorous', 'BLANK': 'Not asked or'}"
ACTIN21_,DOUBLE,Estimated Activity Intensity for Second Activity,"{'0': 'Not Moderate or', '1': 'Moderate', '2': 'Vigorous', 'BLANK': 'Not asked or'}"
PADUR1_,DOUBLE,Minutes of First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PADUR2_,DOUBLE,Minutes of Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAFREQ1_,DOUBLE,Physical Activity Frequency per Week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAFREQ2_,DOUBLE,Physical Activity Frequency per Week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
_MINAC11,DOUBLE,Minutes of Physical Activity per week for First Activity,"{'0': 'Minutes of', '1': '-', 'BLANK': 'Not asked or'}"
_MINAC21,DOUBLE,Minutes of Physical Activity per week for Second Activity,"{'0': 'Minutes of', '1': '-', 'BLANK': 'Not asked or'}"
STRFREQ_,DOUBLE,Strength Activity Frequency per Week,"{'0': '-', 'BLANK': 'Not asked or'}"
PAMISS1_,DOUBLE,Missing Physical Activity Data,"{'0': 'Not Missing', '1': 'Missing Physical', '9': 'Don’t know/Not'}"
PAMIN11_,DOUBLE,Minutes of Physical Activity per week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAMIN21_,DOUBLE,Minutes of Physical Activity per week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PA1MIN_,DOUBLE,Minutes of total Physical Activity per week,"{'0': '-', 'BLANK': 'Not asked or'}"
PAVIG11_,DOUBLE,Minutes of Vigorous Physical Activity per week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAVIG21_,DOUBLE,Minutes of Vigorous Physical Activity per week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PA1VIGM_,DOUBLE,Minutes of total Vigorous Physical Activity per week,"{'0': '-', 'BLANK': 'Not asked or'}"
_PACAT1,DOUBLE,Physical Activity Categories,"{'1': 'Highly Active', '2': 'Active', '3': 'Insufficiently', '4': 'Inactive', '9': 'Don’t know/Not'}"
_PAINDX1,DOUBLE,Physical Activity Index,"{'1': 'Meet Aerobic', '2': 'Did Not Meet', '9': 'Don’t know/Not'}"
_PA150R2,DOUBLE,Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week.,"{'1': '150+ minutes (or', '2': '1-149 minutes (or', '3': '0 minutes (or', '9': 'Don’t know/Not'}"
_PA300R2,DOUBLE,Adults that participated in 300 minutes (or vigorous equivalent minutes) of physical activity per week.,"{'1': '301+ minutes (or', '2': '1-300 minutes (or', '3': '0 minutes (or', '9': 'Don’t know/Not'}"
_PA30021,DOUBLE,Adults that participated in 300 minutes (or vigorous equivalent minutes) of physical activity per week (2-levels).,"{'1': '301+ minutes (or', '2': '0-300 minutes (or', '9': 'Don’t know/Not'}"
_PASTRNG,DOUBLE,Muscle Strengthening Recommendation,"{'1': 'Meet muscle', '2': 'Did not meet', '9': 'Don’t know/Not'}"
_PAREC1,DOUBLE,Aerobic and Strengthening Guideline,"{'1': 'Met Both', '2': 'Met Aerobic', '3': 'Met Strengthening', '4': 'Did not meet', '9': 'Don’t know/Not'}"
_PASTAE1,DOUBLE,Aerobic and Strengthening (2-level),"{'1': 'Met Both', '2': 'Did Not Meet Both', '9': 'Don’t know/Not'}"
_RFSEAT2,DOUBLE,Always or Nearly Always Wear Seat Belts Calculated Variable,"{'1': 'Always or Almost', '2': 'Sometimes, Seldom,', '9': 'Don’t know/Not'}"
_RFSEAT3,DOUBLE,Always Wear Seat Belts Calculated Variable,"{'1': 'Always Wear Seat', '2': 'Don’t Always Wear', '9': 'Don’t know/Not'}"
_FLSHOT6,DOUBLE,Adults aged 65+ who have had a flu shot within the past year,"{'1': 'Yes', '2': 'No', '9': 'Don’t know/Not', 'BLANK': 'Age Less Than'}"
_PNEUMO2,DOUBLE,Adults aged 65+ who have ever had a pneumonia vaccination,"{'1': 'Yes', '2': 'No', '9': 'Don’t know/Not', 'BLANK': 'Age Less Than'}"
_AIDTST3,DOUBLE,Adults who have ever been tested for HIV,"{'1': 'Yes', '9': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
CATI_RN,VARCHAR,Description not found,
CATI_RG,BIGINT,Description not found,
CATI_SR,BIGINT,Description not found,
oh2_11,DOUBLE,Have you ever used methods and strategies other than medications to assist you with,
oh2_12,DOUBLE,Have you ever tried using an e-cigarette or other electronic vaping product because you,
oh2_17,DOUBLE,Does the building you live in have a smoke free policy in place that says no one can,
oh2_19,DOUBLE,"Within the past 12 months, has your employer offered any stop smoking program or any",
oh6_11,DOUBLE,"Have you ever had a period of time in which you experienced MULTIPLE, REPEATED",
