column_name,column_type,description,possible_values
_CLCM5V1,DOUBLE,Version 1 Child Combined Land-Line and Cell-Phone Fifth Margin (Telephone Source),"{'1': '-', 'BLANK': 'Missing'}"
_CLCWTV1,DOUBLE,Version 1 child weight: Land-line and Cell-Phone data,{'HIDDEN': 'Data not displayed'}
_CLCM1V2,DOUBLE,Version 2 Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),"{'1': '-', 'BLANK': 'Missing'}"
_CLCM2V2,DOUBLE,Version 2 Child Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_CLCM3V2,DOUBLE,Version 2 Child Combined Land-Line and Cell-Phone Third Margin (Gender-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_CLCM4V2,DOUBLE,Version 2 Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_CLCM5V2,DOUBLE,Version 2 Child Combined Land-Line and Cell-Phone Fifth Margin (Telephone Source),"{'1': '-', 'BLANK': 'Missing'}"
_CLCWTV2,DOUBLE,Version 2 child weight: Land-line and Cell-Phone data,{'HIDDEN': 'Data not displayed'}
_CLCM1V3,VARCHAR,Version 3 Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),{'BLANK': 'Missing'}
_CLCM2V3,VARCHAR,Version 3 Child Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),{'BLANK': 'Missing'}
_CLCM3V3,VARCHAR,Version 3 Child Combined Land-Line and Cell-Phone Third Margin (Gender-Race/Ethnicity),{'BLANK': 'Missing'}
_CLCM4V3,VARCHAR,Version 3 Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),{'BLANK': 'Missing'}
_CLCM5V3,VARCHAR,Version 3 Child Combined Land-Line and Cell-Phone Fifth Margin (Telephone Source),{'BLANK': 'Missing'}
_CLCWTV3,VARCHAR,Version 3 child weight: Land-line and Cell-Phone data,{'HIDDEN': 'Data not displayed'}
ORGSEQNO,VARCHAR,Original State and Original Sequence Number,{'HIDDEN': 'Data not displayed'}
_DUALUSE,DOUBLE,Dual Phone Use Categories,"{'1': 'Landline frame', '2': 'Cell phone frame', '9': 'No Dual Phone Use'}"
_DUALCOR,DOUBLE,Dual phone use correction factor,{'HIDDEN': 'Data not displayed'}
_LLCPWT2,DOUBLE,Truncated design weight used in adult combined land line and cell phone raking,{'HIDDEN': 'Data not displayed'}
_LLCPM01,DOUBLE,Combined Land-Line and Cell-Phone First Margin (Age-Gender),{'1': '-'}
_LLCPM02,DOUBLE,Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),{'1': '-'}
_LLCPM03,DOUBLE,Combined Land-Line and Cell-Phone Third Margin (Education),"{'1': 'Less than HS', '2': 'HS Grad', '3': 'Some College', '4': 'College Grad'}"
_LLCPM04,DOUBLE,Combined Land-Line and Cell-Phone Fourth Margin (Marital Status),"{'1': 'Married', '2': 'Never married,', '3': 'Divorced, Widowed,'}"
_LLCPM05,DOUBLE,Combined Land-Line and Cell-Phone Fifth Margin (Home Ownership),{'1': '-'}
_LLCPM06,DOUBLE,Combined Land-Line and Cell-Phone Sixth Margin (Gender-Race/Ethnicity),{'1': '-'}
_LLCPM07,DOUBLE,Combined Land-Line and Cell-Phone Seventh Margin (Age-Race/Ethnicity),{'1': '-'}
_LLCPM08,DOUBLE,Combined Land-Line and Cell-Phone Eighth Margin (Telephone Source),{'1': '-'}
_LLCPM09,DOUBLE,Combined Land-Line and Cell-Phone Ninth Margin (Regions),{'1': '-'}
_LLCPM10,DOUBLE,Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'1': '-'}
_LLCPM11,DOUBLE,Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'1': '-'}
_LLCPM12,DOUBLE,Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'1': '-'}
_LLCPM13,DOUBLE,Combined Land-Line and Cell-Phone Thirteenth Margin (Counties),{'1': '-'}
_LLCPM14,DOUBLE,Combined Land-Line and Cell-Phone Fourteenth Margin (Counties-Race/Ethnicity),{'1': '-'}
_LLCPM15,DOUBLE,Combined Land-Line and Cell-Phone Fifteenth Margin (Counties-Age),{'1': '-'}
_LLCPM16,DOUBLE,Combined Land-Line and Cell-Phone Sixteenth Margin (Counties-Sex),{'1': '-'}
_LLCPWT,DOUBLE,Final weight assigned to each respondent: Land-line and cell-phone data (Raking derived weight),{'HIDDEN': 'Data not displayed'}
_LCM01V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone First Margin (Age-Gender),"{'1': '-', 'BLANK': 'Missing'}"
_LCM02V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM03V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Third Margin (Education),"{'1': 'Less than HS', '2': 'HS Grad', '3': 'Some College', '4': 'College Grad', 'BLANK': 'Missing'}"
_LCM04V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Fourth Margin (Marital Status),"{'1': 'Married', '2': 'Never married,', '3': 'Divorced, Widowed,', 'BLANK': 'Missing'}"
_LCM05V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Fifth Margin (Home Ownership),"{'1': '-', 'BLANK': 'Missing'}"
_LCM06V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Sixth Margin (Gender-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM07V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Seventh Margin (Age-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM08V1,DOUBLE,Version 1 Combined Land-Line and Cell-Phone Eighth Margin (Telephone Source),"{'1': '-', 'BLANK': 'Missing'}"
_LCM09V1,VARCHAR,Version 1 Combined Land-Line and Cell-Phone Ninth Margin (Regions),{'BLANK': 'Missing'}
_LCM10V1,VARCHAR,Version 1 Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'BLANK': 'Missing'}
_LCM11V1,VARCHAR,Version 1 Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'BLANK': 'Missing'}
_LCM12V1,VARCHAR,Version 1 Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'BLANK': 'Missing'}
_LCPWTV1,DOUBLE,Version 1 weight assigned to each respondent: Land-line and cell-phone data,{'HIDDEN': 'Data not displayed'}
_LCM01V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone First Margin (Age-Gender),"{'1': '-', 'BLANK': 'Missing'}"
_LCM02V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM03V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Third Margin (Education),"{'1': 'Less than HS', '2': 'HS Grad', '3': 'Some College', '4': 'College Grad', 'BLANK': 'Missing'}"
_LCM04V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Fourth Margin (Marital Status),"{'1': 'Married', '2': 'Never married,', '3': 'Divorced, Widowed,', 'BLANK': 'Missing'}"
_LCM05V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Fifth Margin (Home Ownership),"{'1': '-', 'BLANK': 'Missing'}"
_LCM06V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Sixth Margin (Gender-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM07V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Seventh Margin (Age-Race/Ethnicity),"{'1': '-', 'BLANK': 'Missing'}"
_LCM08V2,DOUBLE,Version 2 Combined Land-Line and Cell-Phone Eighth Margin (Telephone Source),"{'1': '-', 'BLANK': 'Missing'}"
_LCM09V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Ninth Margin (Regions),{'BLANK': 'Missing'}
_LCM10V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'BLANK': 'Missing'}
_LCM11V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'BLANK': 'Missing'}
_LCM12V2,VARCHAR,Version 2 Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'BLANK': 'Missing'}
_LCPWTV2,DOUBLE,Version 2 weight assigned to each respondent: Land-line and cell-phone data,{'HIDDEN': 'Data not displayed'}
_LCM01V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone First Margin (Age-Gender),{'BLANK': 'Missing'}
_LCM02V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),{'BLANK': 'Missing'}
_LCM03V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Third Margin (Education),{'BLANK': 'Missing'}
_LCM04V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Fourth Margin (Marital Status),{'BLANK': 'Missing'}
_LCM05V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Fifth Margin (Home Ownership),{'BLANK': 'Missing'}
_LCM06V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Sixth Margin (Gender-Race/Ethnicity),{'BLANK': 'Missing'}
_LCM07V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Seventh Margin (Age-Race/Ethnicity),{'BLANK': 'Missing'}
_LCM08V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Eighth Margin (Telephone Source),{'BLANK': 'Missing'}
_LCM09V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Ninth Margin (Regions),{'BLANK': 'Missing'}
_LCM10V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Tenth Margin (Regions-Age),{'BLANK': 'Missing'}
_LCM11V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Eleventh Margin (Regions-Gender),{'BLANK': 'Missing'}
_LCM12V3,VARCHAR,Version 3 Combined Land-Line and Cell-Phone Twelfth Margin (Regions-Race/Ethnicity),{'BLANK': 'Missing'}
_LCPWTV3,VARCHAR,Version 3 weight assigned to each respondent: Land-line and cell-phone data,{'HIDDEN': 'Data not displayed'}
_RFHLTH,DOUBLE,Adults with good or better health,"{'2': 'Fair or Poor', '9': 'Don’t know/Not'}"
_PHYS14D,DOUBLE,"3 level not good physical health status: 0 days, 1-13 days, 14-30 days","{'1': 'Zero days when', '2': '1-13 days when', '3': '14+ days when', '9': 'Don’t know/'}"
_MENT14D,DOUBLE,"3 level not good mental health status: 0 days, 1-13 days, 14-30 days","{'1': 'Zero days when', '2': '1-13 days when', '3': '14+ days when', '9': 'Don’t know/'}"
_HLTHPL1,DOUBLE,Adults who had some form of health insurance,"{'1': 'Have some form of', '2': 'Do not have some', '8': '9', '9': 'Don´t know,'}"
_HCVU653,DOUBLE,Respondents aged 18-64 who have any form of health insurance,"{'1': 'Have some form of', '4': '5', '2': 'Do not have any', '9': 'Don’t know/Not'}"
_TOTINDA,DOUBLE,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,"{'1': 'Had physical', '2': 'No physical', '9': 'Don’t know/', '7': 'or'}"
METVL12_,DOUBLE,Activity MET Value for First Activity,"{'0': 'Activity MET Value', '1': '-', 'BLANK': 'Not asked or'}"
METVL22_,DOUBLE,Activity MET Value for Second Activity,"{'0': 'Activity MET Value', '1': '-', 'BLANK': 'Not asked or'}"
MAXVO21_,DOUBLE,Estimated Age-Gender Specific Maximum Oxygen Consumption,{'0': '-'}
FC601_,DOUBLE,Estimated Functional Capacity,{'0': '-'}
ACTIN13_,DOUBLE,Estimated Activity Intensity for First Activity,"{'0': 'Not Moderate or', '1': 'Moderate', '2': 'Vigorous', 'BLANK': 'Not asked or'}"
ACTIN23_,DOUBLE,Estimated Activity Intensity for Second Activity,"{'0': 'Not Moderate or', '1': 'Moderate', '2': 'Vigorous', 'BLANK': 'Not asked or'}"
PADUR1_,DOUBLE,Minutes of First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PADUR2_,DOUBLE,Minutes of Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAFREQ1_,DOUBLE,Physical Activity Frequency per Week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAFREQ2_,DOUBLE,Physical Activity Frequency per Week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
_MINAC12,DOUBLE,Minutes of Physical Activity per week for First Activity,"{'0': 'Minutes of', '1': '-', 'BLANK': 'Not asked or'}"
_MINAC22,DOUBLE,Minutes of Physical Activity per week for Second Activity,"{'0': 'Minutes of', '1': '-', 'BLANK': 'Not asked or'}"
STRFREQ_,DOUBLE,Strength Activity Frequency per Week,"{'0': '-', 'BLANK': 'Not asked or'}"
PAMISS3_,DOUBLE,Missing Physical Activity Data,"{'0': 'Not Missing', '1': 'Missing Physical', '9': 'Don’t know/Not'}"
PAMIN13_,DOUBLE,Minutes of Physical Activity per week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAMIN23_,DOUBLE,Minutes of Physical Activity per week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PA3MIN_,DOUBLE,Minutes of total Physical Activity per week,"{'0': '-', 'BLANK': 'Not asked or'}"
PAVIG13_,DOUBLE,Minutes of Vigorous Physical Activity per week for First Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PAVIG23_,DOUBLE,Minutes of Vigorous Physical Activity per week for Second Activity,"{'0': '-', 'BLANK': 'Not asked or'}"
PA3VIGM_,DOUBLE,Minutes of total Vigorous Physical Activity per week,"{'0': '-', 'BLANK': 'Not asked or'}"
_PACAT3,DOUBLE,Physical Activity Categories,"{'1': 'Highly Active', '2': 'Active', '3': 'Insufficiently', '4': 'Inactive', '9': 'Don’t know/Not'}"
_PAINDX3,DOUBLE,Physical Activity Index,"{'1': 'Meet Aerobic', '2': 'Did Not Meet', '9': 'Don’t know/Not'}"
_PA150R4,DOUBLE,Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week.,"{'1': '150+ minutes (or', '2': '1-149 minutes (or', '3': '0 minutes (or', '9': 'Don’t know/Not'}"
_PA300R4,DOUBLE,Adults that participated in greater than 300 minutes (or vigorous equivalent minutes) of physical activity per week.,"{'1': '301+ minutes (or', '2': '1-300 minutes (or', '3': '0 minutes (or', '9': 'Don’t know/Not'}"
_PA30023,DOUBLE,Adults that participated in greater than 300 minutes (or vigorous equivalent minutes) of physical activity per week (2-,"{'1': '301+ minutes (or', '2': '0-300 minutes (or', '9': 'Don’t know/Not'}"
_PASTRNG,DOUBLE,Muscle Strengthening Recommendation,"{'1': 'Meet muscle', '2': 'Did not meet', '9': 'Don’t know/Not'}"
_PAREC3,DOUBLE,Aerobic and Strengthening Guideline,"{'1': 'Met Both', '2': 'Met Aerobic', '3': 'Met Strengthening', '4': 'Did not meet', '9': 'Don’t know/Not'}"
_PASTAE3,DOUBLE,Aerobic and Strengthening (2-level),"{'1': 'Met Both', '2': 'Did Not Meet Both', '9': 'Don’t know/Not'}"
_RFHYPE6,DOUBLE,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional","{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_CHOLCH3,DOUBLE,Cholesterol check within past five years,"{'1': 'Had cholesterol', '2': 'Did not have', '3': 'Have never had', '9': 'Don’t know/Not', '7': 'or'}"
_RFCHOL3,DOUBLE,"Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health","{'1': 'or', '2': '3', '9': 'Don’t know/Not', 'BLANK': 'Missing'}"
_MICHD,DOUBLE,Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI),"{'1': 'Reported having MI', '2': 'Did not report', 'BLANK': 'Not asked or', '9': 'or'}"
_LTASTH1,DOUBLE,Adults who have ever been told they have asthma,"{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_CASTHM1,DOUBLE,Adults who have been told they currently have asthma,"{'1': 'No', '2': 'Yes', '9': 'Don’t know/Not'}"
_ASTHMS1,DOUBLE,Computed asthma status,"{'1': 'Current', '2': 'Former', '3': 'Never', '9': 'Don’t know/Not'}"
_DRDXAR2,DOUBLE,Respondents who have had a doctor diagnose them as having some form of arthritis,"{'1': 'Diagnosed with', '2': 'Not diagnosed with', 'BLANK': 'Don´t know/Not'}"
MRACORG1,DOUBLE,"MRACE1 with 77,88,99s removed","{'77': 'Don’t know/Not', '99': 'Refused', 'HIDDEN': 'Data not displayed'}"
MRACASC1,DOUBLE,"MRACORG1 with 77,88,99s removed, in ascending order","{'77': 'Don’t know/Not', '99': 'Refused', 'HIDDEN': 'Data not displayed'}"
_MRACE1,DOUBLE,Calculated multiracial race categorization,"{'1': 'White only', '2': 'Black or African', '3': 'American Indian or', '4': 'Asian Only', '40': '41', '5': 'Native Hawaiian or', '50': '51', '6': 'Other race only', '7': 'Multiracial', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Missing'}"
_M_RACE,DOUBLE,Calculated multiracial race categorization,"{'10': 'White', '20': 'Black or African', '30': 'American Indian or', '40': 'Asian', '41': 'Asian Indian', '42': 'Chinese', '43': 'Filipino', '44': 'Japanese', '45': 'Korean', '46': 'Vietnamese', '47': 'Other Asian', '51': 'Native Hawaiian', '53': 'Samoan', '54': 'Other Pacific', '60': 'Other', '70': 'Multiple responses', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
_HISPANC,DOUBLE,"Hispanic, Latino/a, or Spanish origin calculated variable","{'1': 'Hispanic, Latino/', '2': 'Not of Hispanic,', '9': 'Don´t Know,'}"
_RACE,DOUBLE,Race/ethnicity categories,"{'1': 'White only, non-', '2': 'and _MRACE1 =', '3': 'American Indian or', '4': 'Asian only, non-', '40': '41', '5': 'Native Hawaiian or', '50': '51', '6': 'Other race only,', '7': 'or', '8': 'Hispanic', '9': 'Don’t know/Not', 'BLANK': 'Missing'}"
_RACEG21,DOUBLE,White non-Hispanic race group,"{'1': 'Non-Hispanic White', '2': 'Non-White or', '6': 'or', '9': 'Don’t know/Not', 'BLANK': 'Missing'}"
_RACEGR3,DOUBLE,Five-level race/ethnicity category,"{'1': 'White only, Non-', '2': 'Black only, Non-', '3': 'Other race only,', '4': 'Multiracial, Non-', '5': 'Hispanic', '9': 'Don’t know/Not', 'BLANK': 'Missing'}"
_RACEPRV,DOUBLE,Computed race groups used for internet prevalence tables,"{'1': 'White only, non-', '2': 'Black only, non-', '3': 'American Indian or', '4': 'Asian only, non-', '5': 'Native Hawaiian or', '6': 'Other race only,', '7': 'Multiracial, non-', '8': 'Hispanic', 'BLANK': 'Missing'}"
_SEX,DOUBLE,Calculated sex variable,"{'1': 'Male', '2': 'Female'}"
_AGEG5YR,DOUBLE,Fourteen-level age category,"{'1': 'Age', '2': 'Age', '3': 'Age', '4': 'Age', '5': 'Age', '6': 'Age', '7': 'Age', '8': 'Age', '9': 'Age', '10': 'Age', '11': 'Age', '12': 'Age', '13': 'Age', '14': 'Don’t know/'}"
_AGE65YR,DOUBLE,Two-level age category,"{'1': 'Age', '2': 'Age', '3': 'Don’t know/'}"
_AGE80,DOUBLE,Imputed Age value collapsed above 80,"{'18': '-', '25': '-', '30': '-', '35': '-', '40': '-', '45': '-', '50': '-', '55': '-', '60': '-', '65': '-', '70': '-', '75': '-', '80': '-'}"
_AGE_G,DOUBLE,Six-level imputed age category,"{'1': 'Age', '2': 'Age', '3': 'Age', '4': 'Age', '5': 'Age', '6': 'Age'}"
HTIN4,DOUBLE,Reported height in inches,"{'36': '-', 'BLANK': 'Don’t know/'}"
HTM4,DOUBLE,Reported height in meters,"{'91': '-', 'BLANK': 'Don’t know/'}"
WTKG3,DOUBLE,Reported weight in kilograms,{'BLANK': 'Don’t know/'}
_BMI5,DOUBLE,Body Mass Index (BMI),"{'1': '-', 'BLANK': 'Don’t know/'}"
_BMI5CAT,DOUBLE,Four-categories of Body Mass Index (BMI),"{'2': 'Normal Weight', '3': 'Overweight', '4': 'Obese', 'BLANK': 'Don’t know/'}"
_RFBMI5,DOUBLE,Adults who have a body mass index greater than 25.00 (Overweight or Obese),"{'1': 'No', '2': 'Yes', '9': 'Don’t know/'}"
_CHLDCNT,DOUBLE,Number of children in household,"{'1': 'No children in', '2': 'One child in', '3': 'Two children in', '4': 'Three children in', '5': 'Four children in', '6': 'Five or more', '9': 'Don’t know/Not'}"
_EDUCAG,DOUBLE,Level of education completed,"{'1': 'Did not graduate', '2': 'Graduated High', '3': 'Attended College', '9': 'Don’t know/Not'}"
_INCOMG1,DOUBLE,Income categories,"{'1': 'Less than $15,000', '2': '$15,000 to <', '3': '$25,000 to <', '4': '$35,000 to <', '5': '$50,000 to <', '6': '$100,000 to <', '7': '$200,000 or more', '9': 'Don’t know/Not', '99': 'or'}"
_SMOKER3,DOUBLE,"Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker","{'1': 'and SMOKEDAY =', '2': 'Current smoker -', '3': 'Former smoker', '4': 'Never smoked', '9': 'or'}"
_RFSMOK3,DOUBLE,Adults who are current smokers,"{'1': 'or', '3': 'or', '2': 'Yes', '9': 'Don’t know/'}"
_CURECI2,DOUBLE,Adults who are current e-cigarette users,"{'1': 'Not currently', '2': 'Current E-', '9': 'Don’t know/'}"
DRNKANY6,DOUBLE,Adults who reported having had at least one drink of alcohol in the past 30 days.,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused/Missing'}"
DROCDY4_,DOUBLE,Drink-occasions-per-day,"{'0': 'No Drink-Occasions', '1': '-'}"
_RFBING6,DOUBLE,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)","{'1': 'No', '2': 'Yes', '9': 'Don’t know/'}"
_DRNKWK2,DOUBLE,Calculated total number of alcoholic beverages consumed per week,"{'0': 'Did not drink', '1': '-'}"
_RFDRHV8,DOUBLE,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week),"{'1': 'No', '2': 'Yes', '9': 'Don’t know/'}"
_FLSHOT7,DOUBLE,Adults aged 65+ who have had a flu shot within the past year,"{'1': 'Yes', '2': 'No', '9': 'Don’t know/Not', 'BLANK': 'Age <'}"
_PNEUMO3,DOUBLE,Adults aged 65+ who have ever had a pneumonia vaccination,"{'1': 'Yes', '2': 'No', '9': 'or', 'BLANK': 'Age <'}"
_AIDTST4,DOUBLE,Adults who have ever been tested for HIV,"{'1': 'Yes', '2': 'No', '9': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
_RFSEAT2,DOUBLE,Always or Nearly Always Wear Seat Belts Calculated Variable,"{'1': 'Always or Almost', '2': 'Sometimes, Seldom,', '9': 'Don’t know/Not'}"
_RFSEAT3,DOUBLE,Always Wear Seat Belts Calculated Variable,"{'1': 'Always Wear Seat', '2': 'Don’t Always Wear', '9': 'Don’t know/Not'}"
_DRNKDRV,DOUBLE,Drinking and Driving (Reported having driven at least once when perhaps had too much to drink),"{'1': 'Have driven after', '2': 'Have not driven', '9': 'Don’t know/Not'}"
